originAirportCode,destinationAirportCode,routeConnectionPolicy,directBaseDurationMinutes,oneStopBaseDurationMinutes,enabled,displayOrder
ICN,GVA,DIRECT_AND_ONE_STOP,,1060,true,58
ICN,VIE,DIRECT_AND_ONE_STOP,800,1040,true,59
ICN,ATH,DIRECT_AND_ONE_STOP,,1020,true,60
ICN,LIS,ONE_STOP_ONLY,,1200,true,61
ICN,OPO,ONE_STOP_ONLY,,1220,true,62
ICN,FAO,ONE_STOP_ONLY,,1240,true,63
ICN,ARN,ONE_STOP_ONLY,,1050,true,64
ICN,OSL,ONE_STOP_ONLY,,1080,true,65
ICN,CPH,ONE_STOP_ONLY,,1050,true,66
ICN,DXB,DIRECT_AND_ONE_STOP,600,780,true,67
ICN,AUH,DIRECT_AND_ONE_STOP,600,780,true,68
GMP,KIX,DIRECT_ONLY,105,,true,2001
GMP,NGO,DIRECT_ONLY,120,,true,2002
ICN,HND,DIRECT_ONLY,140,,true,2010
PUS,NRT,DIRECT_ONLY,130,,true,2100
PUS,KIX,DIRECT_ONLY,90,,true,2101
PUS,FUK,DIRECT_ONLY,55,,true,2102
PUS,CTS,DIRECT_ONLY,145,,true,2103
PUS,NGO,DIRECT_ONLY,105,,true,2104
PUS,OKA,DIRECT_ONLY,125,,true,2105
PUS,TPE,DIRECT_ONLY,150,,true,2200
PUS,KHH,DIRECT_ONLY,165,,true,2201
PUS,HKG,DIRECT_ONLY,210,,true,2202
PUS,BKK,DIRECT_ONLY,330,,true,2300
PUS,DAD,DIRECT_ONLY,270,,true,2301
PUS,SGN,DIRECT_ONLY,300,,true,2302
PUS,HAN,DIRECT_ONLY,280,,true,2303
PUS,CXR,DIRECT_ONLY,295,,true,2304
PUS,CEB,DIRECT_ONLY,240,,true,2305
PUS,MNL,DIRECT_ONLY,235,,true,2306
PUS,BKI,DIRECT_ONLY,310,,true,2307
ICN,KHH,DIRECT_ONLY,175,,true,2400
ICN,CNX,DIRECT_ONLY,360,,true,2401
ICN,BKI,DIRECT_ONLY,315,,true,2402
ICN,PEN,DIRECT_AND_ONE_STOP,390,570,true,2403
ICN,SUB,DIRECT_AND_ONE_STOP,430,620,true,2404
ICN,KNO,DIRECT_AND_ONE_STOP,460,650,true,2405
ICN,DVO,DIRECT_AND_ONE_STOP,300,470,true,2406
NRT,ICN,DIRECT_ONLY,150,,true,10001
HND,GMP,DIRECT_ONLY,135,,true,10002
KIX,ICN,DIRECT_ONLY,110,,true,10003
FUK,ICN,DIRECT_ONLY,85,,true,10004
CTS,ICN,DIRECT_ONLY,160,,true,10005
NGO,ICN,DIRECT_ONLY,115,,true,10006
OKA,ICN,DIRECT_ONLY,140,,true,10007
PVG,ICN,DIRECT_ONLY,125,,true,10008
PEK,ICN,DIRECT_ONLY,135,,true,10009
PKX,ICN,DIRECT_ONLY,140,,true,10010
CAN,ICN,DIRECT_ONLY,220,,true,10011
SZX,ICN,DIRECT_ONLY,230,,true,10012
TPE,ICN,DIRECT_ONLY,160,,true,10013
TSA,GMP,DIRECT_ONLY,150,,true,10014
HKG,ICN,DIRECT_ONLY,230,,true,10015
SGN,ICN,DIRECT_ONLY,315,,true,10016
HAN,ICN,DIRECT_ONLY,285,,true,10017
DAD,ICN,DIRECT_ONLY,300,,true,10018
BKK,ICN,DIRECT_ONLY,360,,true,10019
DMK,ICN,DIRECT_ONLY,360,,true,10020
HKT,ICN,DIRECT_ONLY,390,,true,10021
KUL,ICN,DIRECT_ONLY,400,,true,10022
SIN,ICN,DIRECT_ONLY,390,,true,10023
MNL,ICN,DIRECT_ONLY,250,,true,10024
CEB,ICN,DIRECT_ONLY,270,,true,10025
CRK,ICN,DIRECT_ONLY,245,,true,10026
DPS,ICN,DIRECT_AND_ONE_STOP,430,620,true,10027
CGK,ICN,DIRECT_AND_ONE_STOP,430,620,true,10028
SYD,ICN,DIRECT_AND_ONE_STOP,630,850,true,10029
MEL,ICN,DIRECT_AND_ONE_STOP,650,880,true,10030
BNE,ICN,DIRECT_AND_ONE_STOP,590,830,true,10031
AKL,ICN,DIRECT_AND_ONE_STOP,690,930,true,10032
JFK,ICN,DIRECT_AND_ONE_STOP,840,1080,true,10033
LAX,ICN,DIRECT_AND_ONE_STOP,660,900,true,10034
SFO,ICN,DIRECT_AND_ONE_STOP,630,870,true,10035
SEA,ICN,DIRECT_AND_ONE_STOP,610,840,true,10036
ORD,ICN,DIRECT_AND_ONE_STOP,790,1050,true,10037
YVR,ICN,DIRECT_AND_ONE_STOP,590,820,true,10038
YYZ,ICN,DIRECT_AND_ONE_STOP,790,1050,true,10039
YUL,ICN,DIRECT_AND_ONE_STOP,,1080,true,10040
YYC,ICN,DIRECT_AND_ONE_STOP,,930,true,10041
LHR,ICN,DIRECT_AND_ONE_STOP,840,1080,true,10042
LGW,ICN,DIRECT_AND_ONE_STOP,,1080,true,10043
MAN,ICN,DIRECT_AND_ONE_STOP,,1050,true,10044
CDG,ICN,DIRECT_AND_ONE_STOP,840,1080,true,10045
ORY,ICN,DIRECT_AND_ONE_STOP,,1080,true,10046
NCE,ICN,DIRECT_AND_ONE_STOP,,1080,true,10047
FRA,ICN,DIRECT_AND_ONE_STOP,820,1050,true,10048
MUC,ICN,DIRECT_AND_ONE_STOP,830,1060,true,10049
BER,ICN,DIRECT_AND_ONE_STOP,,1060,true,10050
FCO,ICN,DIRECT_AND_ONE_STOP,780,1040,true,10051
MXP,ICN,DIRECT_AND_ONE_STOP,,1040,true,10052
VCE,ICN,DIRECT_AND_ONE_STOP,,1060,true,10053
MAD,ICN,DIRECT_AND_ONE_STOP,830,1080,true,10054
BCN,ICN,DIRECT_AND_ONE_STOP,820,1070,true,10055
AMS,ICN,DIRECT_AND_ONE_STOP,820,1050,true,10056
ZRH,ICN,DIRECT_AND_ONE_STOP,820,1050,true,10057
GVA,ICN,DIRECT_AND_ONE_STOP,,1060,true,10058
VIE,ICN,DIRECT_AND_ONE_STOP,800,1040,true,10059
ATH,ICN,DIRECT_AND_ONE_STOP,,1020,true,10060
LIS,ICN,ONE_STOP_ONLY,,1200,true,10061
OPO,ICN,ONE_STOP_ONLY,,1220,true,10062
FAO,ICN,ONE_STOP_ONLY,,1240,true,10063
ARN,ICN,ONE_STOP_ONLY,,1050,true,10064
OSL,ICN,ONE_STOP_ONLY,,1080,true,10065
CPH,ICN,ONE_STOP_ONLY,,1050,true,10066
DXB,ICN,DIRECT_AND_ONE_STOP,600,780,true,10067
AUH,ICN,DIRECT_AND_ONE_STOP,600,780,true,10068
KIX,GMP,DIRECT_ONLY,105,,true,12001
NGO,GMP,DIRECT_ONLY,120,,true,12002
HND,ICN,DIRECT_ONLY,140,,true,12010
NRT,PUS,DIRECT_ONLY,130,,true,12100
KIX,PUS,DIRECT_ONLY,90,,true,12101
FUK,PUS,DIRECT_ONLY,55,,true,12102
CTS,PUS,DIRECT_ONLY,145,,true,12103
NGO,PUS,DIRECT_ONLY,105,,true,12104
OKA,PUS,DIRECT_ONLY,125,,true,12105
TPE,PUS,DIRECT_ONLY,150,,true,12200
KHH,PUS,DIRECT_ONLY,165,,true,12201
HKG,PUS,DIRECT_ONLY,210,,true,12202
BKK,PUS,DIRECT_ONLY,330,,true,12300
DAD,PUS,DIRECT_ONLY,270,,true,12301
SGN,PUS,DIRECT_ONLY,300,,true,12302
HAN,PUS,DIRECT_ONLY,280,,true,12303
CXR,PUS,DIRECT_ONLY,295,,true,12304
CEB,PUS,DIRECT_ONLY,240,,true,12305
MNL,PUS,DIRECT_ONLY,235,,true,12306
BKI,PUS,DIRECT_ONLY,310,,true,12307
KHH,ICN,DIRECT_ONLY,175,,true,12400
CNX,ICN,DIRECT_ONLY,360,,true,12401
BKI,ICN,DIRECT_ONLY,315,,true,12402
PEN,ICN,DIRECT_AND_ONE_STOP,390,570,true,12403
SUB,ICN,DIRECT_AND_ONE_STOP,430,620,true,12404
KNO,ICN,DIRECT_AND_ONE_STOP,460,650,true,12405
DVO,ICN,DIRECT_AND_ONE_STOP,300,470,true,12406
